spotify_id,spotify_name,spotify_popularity
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,85
3frUvGrmGcay91lvFbOgsN,Like It Is,71
6tCssnvTUREcperDOUTqvA,WANNABE,77
4tcPIwy0UvLYjhXLrMyx89,Pump It Up,61
3uc8AGNL0KbvISIrjnfRvN,Mean It,73
1iIhGHzzrzqQfuNkFI2qAn,Any song,71
16DNJ8y6k97DxuMyV49W7V,Dónde Estás,68
1ShHhJlzaLuoZbJ3aP4z0m,Invisible Things,60
7e42rjxCt8tPjglU9VyBcz,17 Miljoen Mensen - Live @538 in Ahoy,60
3ejAkJLWQSEJDqDXxK3efB,DUN DUN,71
6q9XTgfWilsnyiFofvYrIF,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",67
4pRqq3MwcqitKqNO8rOrOb,I Love...,55
163Kb2pSLLduhfbO6Zn0sL,Inside Out,65
0oB9964bp22Bmok0Dmxlzb,Lay Your Head On Me (feat. Marcus Mumford),53
2ryMKWtH2SEQY8fTAclFYb,Smoorverliefd,58
1ary1LsoU9EKfON8oFeALX,Hold,54
10CbwBfusPvPWuzuTLeMdm,Sedang Sayang Sayangnya,63
4Uxr9N0AWejJFBy3qyXprX,Pray 4 Love,49
4nlvKIIetOWGIMyhjQXgOZ,The Difference,72
35HXnvswjdVWjQRmqtXPJD,Maldad (with Maluma),57
7huWBxXBSizb0tftJRbJed,RED MOON,58
2yFQXRSMJgaixzpP6gn8jr,Pacas Verdes,73
6Ihdn6wW2UBhfTKWbP29KA,FIESTA,65
4kIpBfvK44bxqX7zo8K1oP,시작,67
4seR2zKmDX8LLSFEyum42k,ROMANTICPSYCHO,47
7dZ83x0X0QnZfm1mvJ83bn,Fair Chance,59
1N0vwih6TUIb9kYtynvlRc,"Someday, The Boy",60
5fXslGZPI5Cco6PKHzlSL3,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",65
0KVNgZI1y3YTITnwITuEvj,Thief In The Night,52
6Flu33CZc4xS2gkA6cRcNh,Texas Sun,74
40OyiVO9NtBg9R2Gpwxs3u,LION,65
07MrcfLozSPBfEI8GPOZgc,Como Panas,62
40ozK0lCJ0EQzVGWsCNUhk,Way Maker - Live,67
0SIbPFqTrorv3YuhVKlJpV,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",0
3JjY4IgdeK1w8qMBm0yWyw,Past Life,54
07FOCFJhMmCVQDyWX1d3gR,Algorhythm,52
6NebrV4ZigAoXIRbe11hxh,Thinking 'Bout You (feat. Lauren Alaina),61
2xesu70KZ2LlE6295hclOH,Desnuda,43
57jOEZtoLQK4zF2x55bdkp,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",68
25MPTnqXQB1H6OkwSYUXWx,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",66
3NgcaTIgVh77DdwAInp996,Good Girl,65
6mRO59X63upZzN5RVw5wNz,Ojitos,58
4Eefey3uN90Abhbr47zKmC,WINTER FLOWER(Feat.RM),68
2VjFdG69Kt4cC4YIsD6LaF,Beat Me - Official Song F1 Dutch Grand Prix,45
3wSrPtJpnGaUC2hOmJy0BV,Beast (All as One),65
4wel6DQu0dMVBRVn2ZTPoy,白日,52
7eWGnKg4B44sbBPpQp4y2c,Dragonball Durag,67
1uZ5Ulb2qfle3HbqB12vNQ,Here I Am Again,62
5X4R93Qcw54yp9Utwy7Mlr,19.10,57
6n0rhPWs1KpjnFg3WQRNZn,Aftertaste,57
0MD81YyV6i8t019tqmjq2D,Ze Huilt Maar Ze Lacht,51
4VM8y5Tx6UBxzfuLvYrhFf,Drugs & The Internet,60
6XPYGFacwZAtmoSVi9m4eT,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",56
6GqqGv8frU7kqzXkm2rewI,A Little Bit Off,71
5KQUugWVoDTgHXSN7UU5Qb,どろん,58
3qrdLVOClRU4yPkcXZ7c5u,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",65
2FGh2ref26EwA3Z5st5oHb,Hold On (feat. Cheat Codes) - 2020 Edit,62
3vPHCKu5UhbGLe9rs8dBGr,Scream,63
5RXmLhscstsdvWPN0XtUa0,Black Catcher,73
0aCUhj8hIJOJRqyX6VLJeA,"Tum Hi Aana (From ""Marjaavaan"")",0
4xmkpE1Si5JL7NFxWrhV0S,"Humraah (From ""Malang - Unleash The Madness"")",68
60VnLb8PiuKLMnSiPg37fu,"Yaad Piya Ki Aane Lagi (From ""Yaad Piya Ki Aane Lagi"")",0
3BiBIgQFa8K4EOxisyhXX7,Ze Kent Mij,55
5E5kVrMSgi0s6FNZONcutZ,Rode Wijn,56
6Rf3dWdNQs5LTqFOiavqQr,Canada (feat. Alessia Cara),57
0QINzFpxcbStmnHsf00khl,¿Quién Pierde Más?,62
51FVpJr3WL7vvdfCa7j2jr,Momma’s House,69
7w3pIUjz7BTTqj9uAws40m,So What,62
54JxxJ2KW8nCeb6ZnroLA0,Seca Tus Lagrimas,64
3FhiU60cxfN2j4jRy5Y40w,Lloras - Remix,75
6dGsBRuavumBs5BghcXF3D,Give You My Heart,63
5vUCXkWBLzqwtzN5YJotGS,JESIEŃ,49
5I2wbDvSI98HLVB42YO9sU,"Lagdi Lahore Di (From ""Street Dancer 3D"")",62
7J3QMuDCSv56jRSiD9jFBF,Cidade Inteira,74
3xmsmrufmGULmdWToT78jD,Beach Ballin' (feat. blackbear),62
28veUNu4veN0LOBVa0nFw8,"Muqabla (From ""Street Dancer 3D"")",63
4vS4FB3HXgOSmICeqEY0Gh,35.31,52
4Ksj9mKfsYC5b8v8Ey3c8I,0.00,44
3O7yIZM96XVdTDDEMhfZpP,Dive,56
3diZHzXj5LNxztVwBjnebn,Mixtape : On Track,53
2IAR0DziHCjSu16gR4ihvy,Nothing,69
1NjQZi2ajwmJsfnimLr41I,More Than Enough,60
2l4vLM7tnFJ5Yf84dr0qvG,Altamente Probable,60
0JStm1Ns9Ya2zQhbqMDYEU,คิด(แต่ไม่)ถึง (Same Page?),56
6X9Lb3LG0Zx73lIWh9uild,State I'm In,43
3doHXO2n8mAW8XkIFeapTZ,Falling (Summer Walker Remix),56
3oWxFNsXstcancCR1wODR4,Tera Ban Jaunga,65
